date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1988-12-30,40.4992,41.2496,40.2528,40.2528,729400,0.2823,-0.6,136695440.0
1989-01-03,40.2528,40.4992,39.9952,40.376,893000,0.2831,0.28,125010480.0
1989-01-04,40.7456,42.1232,40.4992,42.0,2142400,0.2945,4.03,129287200.0
1989-01-05,42.0,43.2544,41.2496,42.2464,2744000,0.2963,0.61,139406960.0
1989-01-06,42.2464,43.5008,42.2464,42.6272,1773800,0.2989,0.88,144433520.0
1989-01-09,42.9968,43.12,42.2464,42.9968,708100,0.3015,0.87,145425840.0
1989-01-10,42.504,42.8736,41.496,42.6272,922500,0.2989,-0.86,148344000.0
1989-01-11,42.2464,42.504,41.2496,42.1232,1394000,0.2954,-1.17,150256400.0
1989-01-12,42.2464,42.9968,42.0,42.7504,1342100,0.2998,1.49,151644640.0
1989-01-13,42.7504,43.5008,42.3696,43.2544,1731300,0.3033,1.17,151674880.0
1989-01-16,43.2544,44.0048,42.9968,43.7472,1505300,0.3068,1.15,154476000.0
1989-01-17,43.2544,43.5008,39.9952,40.376,6755400,0.2831,-7.72,183131760.0
1989-01-18,40.7456,41.1264,39.5024,39.7488,4356500,0.2787,-1.55,195811840.0
1989-01-19,40.4992,41.0032,39.9952,40.4992,2285600,0.284,1.9,194901840.0
1989-01-20,40.4992,41.496,40.2528,41.0032,1551200,0.2875,1.23,191490320.0
1989-01-23,40.7456,41.2496,40.7456,41.0032,1611900,0.2875,0.0,195215440.0
1989-01-24,41.0032,41.7536,40.7456,41.6304,1993700,0.2919,1.53,204332240.0
1989-01-25,41.7536,42.0,41.0032,41.496,990500,0.291,-0.31,206879680.0
1989-01-26,40.7456,42.1232,40.6224,41.7536,2547000,0.2928,0.62,218565760.0
1989-01-27,38.248,39.2448,36.2544,37.6208,18992600,0.2638,-9.9,319033680.0
1989-01-30,37.6208,38.0016,37.2512,37.3744,5236600,0.2621,-0.64,344274000.0
1989-01-31,37.2512,37.7552,36.7472,37.7552,4110300,0.2648,1.03,362290880.0
1989-02-01,37.7552,39.6256,37.3744,39.2448,4353200,0.2752,3.93,374671360.0
1989-02-02,39.5024,40.2528,39.2448,39.7488,4227600,0.2787,1.27,382979520.0
1989-02-03,39.9952,40.2528,38.9984,39.2448,1597400,0.2752,-1.26,381991680.0
1989-02-06,39.5024,39.5024,38.248,38.5056,1042300,0.27,-1.89,383863200.0
1989-02-07,38.248,39.2448,38.248,38.9984,1474600,0.2735,1.3,386954960.0
1989-02-08,38.9984,39.5024,38.0016,38.248,1401900,0.2682,-1.94,386999200.0
1989-02-09,38.248,38.9984,38.0016,38.248,1435800,0.2682,0.0,387523920.0
1989-02-10,38.248,38.248,37.0048,37.2512,3110200,0.2612,-2.61,395245760.0
1989-02-13,36.7472,37.2512,36.7472,37.0048,2099900,0.2595,-0.65,398575520.0
1989-02-14,36.8704,37.0048,35.2464,35.7504,7960500,0.2507,-3.39,405324080.0
1989-02-15,35.7504,36.2544,35.504,36.2544,2952000,0.2542,1.4,397458880.0
1989-02-16,36.2544,37.2512,35.9968,36.3776,2283000,0.2551,0.35,397444320.0
1989-02-17,36.2544,37.0048,36.2544,36.7472,1043300,0.2584,1.29,394600080.0
1989-02-21,36.8704,37.7552,36.7472,37.4976,1701400,0.2637,2.05,395101280.0
1989-02-22,37.2512,37.4976,36.5008,36.7472,2127900,0.2584,-2.01,395852800.0
1989-02-23,36.5008,37.0048,36.2544,36.7472,851500,0.2584,0.0,395074400.0
1989-02-24,37.0048,37.0048,35.9968,35.9968,1358300,0.2531,-2.05,388417680.0
1989-02-27,35.9968,36.5008,35.7504,36.5008,1035000,0.2567,1.42,287855120.0
1989-02-28,36.5008,36.7472,35.9968,36.2544,1571600,0.2549,-0.7,267331120.0
1989-03-01,36.2544,36.5008,35.504,35.9968,1519000,0.2531,-0.71,252819840.0
1989-03-02,35.7504,36.2544,34.7536,35.0,3360100,0.2461,-2.77,247258480.0
1989-03-03,35.2464,35.2464,34.0032,34.7536,3462300,0.2444,-0.69,242972800.0
1989-03-06,35.0,35.8736,34.496,35.504,1504600,0.2497,2.17,242453120.0
1989-03-07,35.504,35.9968,35.0,35.7504,2327600,0.2514,0.68,249650800.0
1989-03-08,35.6272,36.2544,35.2464,35.2464,1931200,0.2479,-1.39,252207760.0
1989-03-09,35.2464,35.7504,34.496,34.496,1191400,0.2426,-2.14,251028960.0
1989-03-10,34.496,35.0,34.2496,35.0,917100,0.2461,1.44,248124240.0
